checkInDate,checkInDateMonthAndYear,checkOutDate,demographicId,encryptedReviewData,formattedRating,formattedResponseDate,formattedReviewDate,formattedReviewHelpfulText,helpfulVotes,hotelReviewId,isHelpfulComment,isReviewVoted,isShowReviewResponse,isShowReviewResponseTranslateButton,isShowReviewTranslateButton,providerId,rating,responderName,responseDateText,responseLanguageId,responseTranslateSource,reviewComments,reviewDate,reviewNegatives,reviewPositives,reviewProviderLogo,reviewTitle,translateSource,translateTarget,unHelpfulVotes,countryId,countryName,displayMemberName,flagName,isShowGlobalIcon,isShowReviewedCount,lengthOfStay,reviewGroupName,reviewerReviewedCount,roomTypeName
2018-04-12T00:00:00+07:00,เมษายน 2018,2018-04-14T00:00:00+07:00,0,4Fu14+nkGM1sm9gVZgqbSA==,10.0,,23 เมษายน 2018,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,153599265,False,False,False,False,False,332,10.0,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,บริการดี,2018-04-23T10:57:00+07:00,,,,ดีมาก,th,th,0,106,ประเทศไทย,Juthamard,th,False,False,2,คู่รัก,73,ดีลักซ์
,,,0,eaKGJBE9nJp4Wa0SXjZfGA==,8.8,,14 พฤศจิกายน 2017,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,132458806,False,False,False,False,False,3038,8.8,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,,2017-11-14T01:35:42+07:00,,อาหารเช้า,,Fabulous,th,th,0,106,ประเทศไทย,Teerasak,th,False,False,0,คู่รัก,0,
2017-12-23T00:00:00+07:00,ธันวาคม 2017,2017-12-24T00:00:00+07:00,0,wjaEMMOSEmMuLbTu1NBjeg==,8.4,,25 ธันวาคม 2017,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,130609143,False,False,False,False,False,332,8.4,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,ห้้องพักขนาดไม่เล็กไม่ใหญ่ ที่นอนนุ่มมากแต่หมอนนิ่มไปหน่อย,2017-12-25T15:17:00+07:00,,,,มองหาอาหารเช้าดีๆ ต้องที่นี่,th,th,0,106,ประเทศไทย,navapat,th,False,False,1,ครอบครัวที่มีเด็กโต,6,
,,,0,ggLmacLdiJjDUlQQPDmOUg==,6.3,,23 สิงหาคม 2017,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,132426960,False,False,False,False,False,3038,6.3,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,,2017-08-23T05:19:03+07:00,สถานที่ของโรงแรมอยู่กลางซอย ถนนเล็กมาก เรียกแท้กซี่ลำบากเพราะซอยนี้รถติดมากกกกกกกกกก ยังดีมีตุ๊กตุ๊ก รับคนตลอด ถูกด้วย,พนักงานทำความสะอาด พนักงานต้อนรับ ห้องสวย กว้างขวาง,,Ok,th,th,0,205,อิตาลี,Pornpichit,it,False,False,0,ครอบครัวที่มีเด็กเล็ก,0,
2017-06-17T00:00:00+07:00,มิถุนายน 2017,2017-06-18T00:00:00+07:00,0,y6WUtF3Dxxy79YZdGqwH9w==,7.6,,28 มิถุนายน 2017,นักเดินทาง 1 คนคิดว่ารีวิวนี้มีประโยชน์ แล้วท่านล่ะ?,1,115371349,False,False,False,False,False,332,7.6,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,ก็ดีใช้ได้ ค่ะ แพง หนอ่ย อาหารก็ แพง ถ้าไม่ซีเรียส โดยรวมโอเค,2017-06-28T10:39:00+07:00,,,,ดีมาก,th,th,0,106,ประเทศไทย,THANTHIP,th,False,False,1,ครอบครัวที่มีเด็กโต,5,
,,,0,cRKKPhuBPr5Mn64QQw8gMQ==,7.5,,07 ธันวาคม 2017,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,132459782,False,False,False,False,True,3038,7.5,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,,2017-12-07T10:37:10+07:00,The level of English was surprisingly poor.,Breakfast was amazing. So much choice and everything was tasty. The staff at the breakfast was great!,,Great place to escape the messy city.,en,th,0,149,เนเธอร์แลนด์,Anonymous,nl,False,False,0,คู่รัก,0,
2018-04-19T00:00:00+07:00,เมษายน 2018,2018-04-21T00:00:00+07:00,0,MSFq3Odh1yv48RpYkGIgqw==,9.2,,31 พฤษภาคม 2018,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,162098363,False,False,False,False,True,332,9.2,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,"very expensive hotel, the room is very expensive, the staff very polite, can speak very good english",2018-05-31T23:08:00+07:00,,,,for rich people to stay,en,th,0,181,สหรัฐอเมริกา,TERENCE,us,False,False,2,เดินทางคนเดียว,23,ดีลักซ์
,,,0,3SIze6bUmnMGQcJSNmdtvA==,7.1,,06 ธันวาคม 2017,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,132457142,False,False,False,False,True,3038,7.1,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,,2017-12-06T21:18:47+07:00,The AC in the room didn’t work well as a result the room remained quite hot all night and hampered a Good’s night rest !,"The breakfast was extensive, the pillows and mattresses very comfy !",,Something’s worked some didn’t,en,th,0,35,อินเดีย,Sanjay,in,False,False,0,คู่รัก,0,
2018-05-01T00:00:00+07:00,พฤษภาคม 2018,2018-05-04T00:00:00+07:00,0,jPiPgjN2CD+wuq/YI7djUA==,7.6,,25 พฤษภาคม 2018,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,160403840,False,False,False,False,True,332,7.6,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,Nice location and good hotel for a Marriott chain. ,2018-05-25T16:24:00+07:00,,,,ดีมาก,en,th,0,114,สิงคโปร์,Beattrice,sg,False,False,3,นักธุรกิจ,18,ดีลักซ์ วิวสวนสาธารณะ
,,,0,0/Y94Fl/cpWa3SPob6if0A==,9.6,,29 พฤศจิกายน 2017,ท่านคิดว่ารีวิวนี้มีประโยชน์หรือไม่,0,132448825,False,False,False,False,True,3038,9.6,แบงค็อก แมริออท มาร์ควิส ควีนส์พาร์ค,,0,,,2017-11-29T22:35:04+07:00,"There were too many trainees who were not able to give information, directions or answer simple questions.",Property was very elegant and clean.,,Overall stay was wonderful 😊👍,en,th,0,181,สหรัฐอเมริกา,Kessiri,us,False,False,0,ครอบครัวที่มีเด็กเล็ก,0,
